"code_sandre";"code_cas";"libelle";"statut";"usage_principal";"nqecma";"nqema";"pnec";"dt50";"koc";"gus";"classification";"rgsiris2018";"solubilite_mgl";"hydrolyseph7";"du_2015";"du_2017";"usage_agricole";"source";"maj";"substance_id"
"6909";"82971-90-2";(4-trifluoromethoxy)phenyl urea;"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";1
"6910";"526224-31-7";(E)-methyl 5-chloro-2,3-dihydro-2-hydroxy-1-[[[(methoxycarbonyl)[4-trifluoromethoxy)phenyl]amino]carbonyl]hydrazono]-1H-indene-2-carboxylate;"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";2
"6866";"252913-85-2";(E,E)-trifloxystrobin acid;"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";3
"0";"16974-11-1";(z)-9-dodecenylacetate;"";Insecticides;0.0;0.0;"";"";"";"";N Organique;"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";4
"0";"55965-84-9";"1 iso thiazolinon chloromethyl";"";Autres biocides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";5
"6818";"46503-52-0";"1-(2,4-Dichlorophenyl)-2-(1H-imidazol-1-yl)ethan-1-one";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";6
"1929";"3567-62-2";"1-(3,4-dichlorophenyl)-3-methyl-uree";"";Métabolites;0.0;0.0;"0.2";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";7
"5929";"140-38-5";"1-(4-chlorophényl)urée";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";8
"6808";"288-88-0";"1,2,4-Triazole";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";9
"0";"462-94-2";"1,5-diaminopentane";"";Attractif;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";10
"0";"112-53-8";"1-dodecanol";"";Fongicides;0.0;0.0;"";"";"";"";N Organique;"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";11
"5570";"3100-04-7";"1-Methylcyclopropene";"";Régulateurs de croissance;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";12
"0";"112-72-1";"1-tetradecanol";"";Insecticides;0.0;0.0;"";"";"";"";N Organique;"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";13
"5685";"2655-15-4";"2,3,5-Trimethacarb";"";Répulsifs;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";14
"1590";"608-27-5";"2,3-dichloroaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";15
"6802";"1563-38-8";"2,3-Dihydro-2,2-dimethyl-7-benzofuranol";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";16
"1264";"93-76-5";"2,4,5-T";non autorisé;Herbicides;0.0;0.0;"5";"";"";"2.894178773";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";17
"5686";"1928-37-6";"2,4,5-T methyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";18
"1141";"94-75-7";"2,4-D";non autorisé;Herbicides;0.0;2.2;"2.2";"";"";"";N Organique;"3";"23180";TS;"1.16";"0.573852536";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";19
"6266";"94-80-4";"2,4-D butyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";20
"2872";"94-11-1";"2,4-D isopropyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";21
"5687";"94-79-1";"2,4-D sec-butyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";22
"1142";"94-82-6";"2,4-DB";"";Herbicides;0.0;0.0;"30";"16";"271";"1.88689299";N Organique;"26";"4385";TS;"1.8";"1.8";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";23
"5572";"32357-46-3";"2,4-DB Butoxyethyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";24
"5573";"2758-42-1";"2,4-DB-dimethylammonium";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";25
"5571";"2008-39-1";"2,4-D-dimethylammonium";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";26
"2873";"1928-38-7";"2,4-Dichlorophenoxyacetic acid methyl ester";"";Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";27
"1212";"94-74-6";"2,4-MCPA";"";Herbicides;0.0;0.5;"0.5";"25";"74";"2.978686228";N Organique;"11";"293900";stable;"0.799532";"1.168274703";Désherbant céréales et graminées;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";28
"1213";"94-81-5";"2,4-MCPB";"";Herbicides;0.0;0.0;"43";"";"";"1.66194973";N Organique;"41";"4400";stable;"1.6";"0.68954485";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";29
"5574";"6062-26-6";"2,4-MCPB sodium";non autorisé;Herbicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";30
"5309";"609-20-1";"2,6-Dichloro-1,4-phenylenediamine";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";31
"1587";"608-31-1";"2,6-dichloroaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";32
"2011";"2008-58-4";"2,6-Dichlorobenzamide";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";33
"1943";"579-66-8";"2,6-Diethylaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";34
"6816";"4097-33-0";"2,6-Dinitro-4-octylphenol";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";35
"6803";"1668-54-8";"2-amino-4-methoxy-6-methyl-1,3,5-triazine";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";36
"6809";"30391-89-0";"2-Amino-N-isopropyl-benzamide";"";Métabolites;0.0;0.0;"0.08";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";37
"6804";"16794-12-0";"2-Butanesulfonic acid";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";38
"1944";"53250-83-2";"2-chloro-4-méthyl sulfonyl benzoique acide";"";Métabolites;0.0;0.0;"5.1";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";39
"2815";"121-86-8";"2-chloro-4-nitrotoluene";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";40
"3283";"6967-29-9";"2-Chloro-N-(2,6-diethylphenyl)aceta";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";41
"2932";"24549-06-2";"2-éthyl 6-méthylaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";42
"7886";"94-68-8";"2-éthylaminotoluène";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";43
"7848";"578-54-1";"2-éthylaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";44
"1832";"2163-68-0";"2-hydroxy atrazine";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";SA mère : Atrazine (herbicide);Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";45
"5695";"2686-99-9";"3,4,5-Trimethacarb";"";Molluscicides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";46
"1930";"2327-02-8";"3,4-dichlorophenyluree";"";Métabolites;0.0;0.0;"0.2";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";47
"3395";"95-65-8";"3,4-Dimethylphenol";"";Insecticides;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";48
"1585";"626-43-7";"3,5-dichloroaniline";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";49
"5331";"98-16-8";"3-Aminobenzotrifluoride";"";Métabolites;0.0;0.0;"";"";"";"";"";"";"";"";"";"";"";Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;"2020-10-12";50
